周一,周二,周三,周四,周五,周六,周日
"爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣风味肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣风味肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","黄瓜拌牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","黄瓜拌牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"黄焖鱼块
(￥8 | 150g: 热量240kcal 碳水9.0g 蛋白21.0g 脂肪13.5g)","黄焖鱼块
(￥8 | 150g: 热量240kcal 碳水9.0g 蛋白21.0g 脂肪13.5g)","干煸辣子鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干煸辣子鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","土豆烧牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸菜鱼片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸菜鱼片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"水煮肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","水煮肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","原味鸡排
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"新疆大盘鸡
(￥6 | 150g: 热量225kcal 碳水10.5g 蛋白15.0g 脂肪13.5g)","新疆大盘鸡
(￥6 | 150g: 热量225kcal 碳水10.5g 蛋白15.0g 脂肪13.5g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","香辣藕盒
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)"
"奥尔良烤鸡腿
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","奥尔良烤鸡腿
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","魔芋烧鸭
(￥8 | 150g: 热量225kcal 碳水6.0g 蛋白16.5g 脂肪15.0g)","魔芋烧鸭
(￥8 | 150g: 热量225kcal 碳水6.0g 蛋白16.5g 脂肪15.0g)","青笋炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"牙签肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","牙签肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","清炒毛白菜
(￥2 | 150g: 热量60kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","清炒毛白菜
(￥2 | 150g: 热量60kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","炝炒土豆丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","醋熘白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","醋熘白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"鱼香茄子
(￥4 | 150g: 热量225kcal 碳水18.0g 蛋白3.0g 脂肪16.5g)","鱼香茄子
(￥4 | 150g: 热量225kcal 碳水18.0g 蛋白3.0g 脂肪16.5g)","家常土豆片
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","家常土豆片
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","干炸蘑菇
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","西红柿炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","西红柿炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","上海青炒木耳
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","上海青炒木耳
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","鱼香茄子
(￥4 | 150g: 热量225kcal 碳水18.0g 蛋白3.0g 脂肪16.5g)",-,-
"木耳炒山药
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","木耳炒山药
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","麻婆豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","麻婆豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","家常豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)",-,-
