周一,周二,周三,周四,周五,周六,周日
"梅菜扣肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","梅菜扣肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","水煮巴沙鱼
(￥8 | 150g: 热量195kcal 碳水6.0g 蛋白19.5g 脂肪10.5g)","水煮巴沙鱼
(￥8 | 150g: 热量195kcal 碳水6.0g 蛋白19.5g 脂肪10.5g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","水煮巴沙鱼
(￥8 | 150g: 热量195kcal 碳水6.0g 蛋白19.5g 脂肪10.5g)","水煮巴沙鱼
(￥8 | 150g: 热量195kcal 碳水6.0g 蛋白19.5g 脂肪10.5g)"
"蒜苗回锅肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","蒜苗回锅肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧瓦块鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧瓦块鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","香酥鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧瓦块鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧瓦块鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"麻辣鸭血
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣鸭血
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)","鸡米花
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)"
"蒜苔炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","蒜苔炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","葫芦瓜炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"椒盐小酥肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","椒盐小酥肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","青笋炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)"
"锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","炝炒土豆丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","炝炒土豆丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"家常豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","家常豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","清炒上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","上海青炒木耳
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","上海青炒木耳
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","干炸蘑菇
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","干炸蘑菇
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","鱼香茄子
(￥4 | 150g: 热量225kcal 碳水18.0g 蛋白3.0g 脂肪16.5g)","韭菜炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","韭菜炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"醋熘白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","醋熘白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","韭菜炒豆芽
(￥4 | 150g: 热量90kcal 碳水6.0g 蛋白4.5g 脂肪6.0g)","韭菜炒豆芽
(￥4 | 150g: 热量90kcal 碳水6.0g 蛋白4.5g 脂肪6.0g)","清炒毛白菜
(￥2 | 150g: 热量60kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)",-,-
"西红柿炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","西红柿炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","麻婆豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)",-,-
