周一,周二,周三,周四,周五,周六,周日
"土豆烧牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐焗西装鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白24.0g 脂肪19.5g)","盐焗西装鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白24.0g 脂肪19.5g)","蒜苗回锅牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","蒜苗回锅牛肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"回锅牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","口水鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","口水鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干炸蒜香鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干炸蒜香鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣风味肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣风味肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"干锅香辣鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","番茄肥牛卷
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","番茄肥牛卷
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干煸辣子鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干煸辣子鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"青笋烧鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒鸡丁
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","青椒鸡丁
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","藕片炒肉
(￥8 | 150g: 热量210kcal 碳水12.0g 蛋白10.5g 脂肪13.5g)","藕片炒肉
(￥8 | 150g: 热量210kcal 碳水12.0g 蛋白10.5g 脂肪13.5g)","木耳炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木耳炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"青椒鸡丝
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","椒盐小酥肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","椒盐小酥肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","冬瓜烧鸡
(￥8 | 150g: 热量180kcal 碳水6.0g 蛋白15.0g 脂肪10.5g)","冬瓜烧鸡
(￥8 | 150g: 热量180kcal 碳水6.0g 蛋白15.0g 脂肪10.5g)","奥尔良烤鸡腿
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","奥尔良烤鸡腿
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"千叶豆腐炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","葫芦瓜炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","葫芦瓜炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青笋炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","青笋炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)"
"青椒炒牛皮豆干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","娃娃菜炒肉
(￥6 | 150g: 热量180kcal 碳水7.5g 蛋白10.5g 脂肪12.0g)","娃娃菜炒肉
(￥6 | 150g: 热量180kcal 碳水7.5g 蛋白10.5g 脂肪12.0g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","孜然素鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","孜然素鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","葫芦瓜炒鸡蛋
(￥4 | 150g: 热量135kcal 碳水4.5g 蛋白9.0g 脂肪9.0g)","葫芦瓜炒鸡蛋
(￥4 | 150g: 热量135kcal 碳水4.5g 蛋白9.0g 脂肪9.0g)","包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","包包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"虾皮冬瓜
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","胡萝卜丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","胡萝卜丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","白灼蒜蓉娃娃菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","白灼蒜蓉娃娃菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒油菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒油菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"炝炒土豆丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒豆芽
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒豆芽
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)"
