周一,周二,周三,周四,周五,周六,周日
"红烧牛腩
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","爆炒牛肚丝
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","梅菜扣肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","梅菜扣肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐焗西装鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白24.0g 脂肪19.5g)","盐焗西装鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白24.0g 脂肪19.5g)"
"麻辣肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸菜鱼片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸菜鱼片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","回锅牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","回锅牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"糖醋鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒洋葱炒香肠
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","青椒洋葱炒香肠
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","干锅香辣鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干锅香辣鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","辣子鸡
(￥8 | 150g: 热量390kcal 碳水9.0g 蛋白21.0g 脂肪30.0g)","辣子鸡
(￥8 | 150g: 热量390kcal 碳水9.0g 蛋白21.0g 脂肪30.0g)"
"锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","新疆大盘鸡
(￥6 | 150g: 热量225kcal 碳水10.5g 蛋白15.0g 脂肪13.5g)","新疆大盘鸡
(￥6 | 150g: 热量225kcal 碳水10.5g 蛋白15.0g 脂肪13.5g)","锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","香辣藕盒
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","香辣藕盒
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"笋片炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧日本豆腐
(￥6 | 150g: 热量195kcal 碳水13.5g 蛋白9.0g 脂肪12.0g)","红烧日本豆腐
(￥6 | 150g: 热量195kcal 碳水13.5g 蛋白9.0g 脂肪12.0g)","青椒鸡丝
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","青椒鸡丝
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","糖醋里脊
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"黄瓜鸡丁
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","白菜粉条肉
(￥6 | 150g: 热量210kcal 碳水18.0g 蛋白7.5g 脂肪12.0g)","白菜粉条肉
(￥6 | 150g: 热量210kcal 碳水18.0g 蛋白7.5g 脂肪12.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)"
"大盘鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒炒素鸡
(￥4 | 150g: 热量225kcal 碳水15.0g 蛋白15.0g 脂肪12.0g)","青椒炒素鸡
(￥4 | 150g: 热量225kcal 碳水15.0g 蛋白15.0g 脂肪12.0g)","青椒炒牛皮豆干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","青椒炒牛皮豆干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","娃娃菜炒肉
(￥6 | 150g: 热量180kcal 碳水7.5g 蛋白10.5g 脂肪12.0g)","娃娃菜炒肉
(￥6 | 150g: 热量180kcal 碳水7.5g 蛋白10.5g 脂肪12.0g)"
"蒜香上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒油菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","清炒油菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","虎皮青椒烧茄子
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","虎皮青椒烧茄子
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"炒土豆片
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","麻辣豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","麻辣豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","黄瓜炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","黄瓜炒鸡蛋
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","蒜蓉娃娃菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","蒜蓉娃娃菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"炒油白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","酸辣土豆丝
(￥1 | 150g: 热量165kcal 碳水19.5g 蛋白3.0g 脂肪9.0g)","酸辣土豆丝
(￥1 | 150g: 热量165kcal 碳水19.5g 蛋白3.0g 脂肪9.0g)","素炒豆芽
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒豆芽
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒胡萝卜丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒胡萝卜丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
