周一,周二,周三,周四,周五,周六,周日
"红烧牛腩
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","五彩虾仁
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣肚丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","茄汁大虾
(￥10 | 150g: 热量240kcal 碳水15.0g 蛋白18.0g 脂肪12.0g)","什锦虾仁
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","萝卜炖牛腩
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"麻辣肉干
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","清炖牛排
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","小炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","土豆烧牛腩
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","香辣牛头肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧牛排
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸辣肚丝
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"糖醋鱼
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干煸鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","香辣鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","大盘鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","水煮肥牛卷
(￥12 | 150g: 热量375kcal 碳水7.5g 蛋白18.0g 脂肪30.0g)","麻辣牛舌
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","炒烤肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"锅包肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","黄焖鱼块
(￥8 | 150g: 热量240kcal 碳水9.0g 蛋白21.0g 脂肪13.5g)","盐水鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","干炸鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧鱼块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐焗鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","口水鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"笋片炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","年糕烧鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","红烧鸭块
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","烤鸡腿
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐水鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"黄瓜鸡丁
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐酥鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","口水鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","盐水鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","酸萝卜烧鸭
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","大盘鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"大盘鸡
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","蒜薹炒火腿
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","木耳炒肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","黄瓜炒肉片
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)","木须肉
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)"
"蒜香上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","香菇菜心
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","鸡蛋羹
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","西辣蛋
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","木耳山药
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒西兰花
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","麻辣豆腐
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)"
"炒土豆片
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","鸡蛋羹
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","炒青菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","包菜炒粉条
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","西辣蛋
(￥4 | 150g: 热量160kcal 碳水6.0g 蛋白12.0g 脂肪10.0g)","鸡蛋羹
(￥8 | 150g: 热量280kcal 碳水8.0g 蛋白18.0g 脂肪15.0g)","素炒豆芽
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
"炒油白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","炝莲白
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","素炒上海青
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","炒青菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","香菇菜心
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)","炒油白菜
(￥3 | 150g: 热量80kcal 碳水10.0g 蛋白2.0g 脂肪3.5g)"
