周一,周二,周三,周四,周五,周六,周日
"黄焖鱼块
(￥8 | 150g: 热量240kcal 碳水9.0g 蛋白21.0g 脂肪13.5g)","韭菜扣肉
(￥10 | 150g: 热量480kcal 碳水7.5g 蛋白15.0g 脂肪42.0g)","水煮巴沙鱼
(￥8 | 150g: 热量195kcal 碳水6.0g 蛋白19.5g 脂肪10.5g)","薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","爆炒鸡胗
(￥12 | 150g: 热量195kcal 碳水6.0g 蛋白22.5g 脂肪9.0g)","粉蒸肉
(￥8 | 150g: 热量450kcal 碳水18.0g 蛋白15.0g 脂肪36.0g)","杭椒牛柳
(￥10 | 150g: 热量270kcal 碳水9.0g 蛋白24.0g 脂肪15.0g)"
"粉蒸鸡块
(￥8 | 150g: 热量270kcal 碳水15.0g 蛋白18.0g 脂肪15.0g)","三鲜排骨
(￥10 | 150g: 热量330kcal 碳水7.5g 蛋白21.0g 脂肪24.0g)","辣子鸡
(￥8 | 150g: 热量390kcal 碳水9.0g 蛋白21.0g 脂肪30.0g)","黄焖猪蹄
(￥12 | 150g: 热量420kcal 碳水6.0g 蛋白24.0g 脂肪33.0g)","干锅鱼块
(￥10 | 150g: 热量285kcal 碳水9.0g 蛋白21.0g 脂肪18.0g)","香酥鸡
(￥8 | 150g: 热量405kcal 碳水18.0g 蛋白21.0g 脂肪27.0g)","葱油鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白22.5g 脂肪21.0g)"
"薯条大虾
(￥10 | 150g: 热量360kcal 碳水24.0g 蛋白15.0g 脂肪22.5g)","麻辣香锅
(￥8 | 150g: 热量270kcal 碳水12.0g 蛋白12.0g 脂肪21.0g)","盐焗西装鸡
(￥8 | 150g: 热量285kcal 碳水3.0g 蛋白24.0g 脂肪19.5g)","粉蒸肉
(￥8 | 150g: 热量450kcal 碳水18.0g 蛋白15.0g 脂肪36.0g)","五香鸭腿
(￥5 | 150g: 热量315kcal 碳水4.5g 蛋白22.5g 脂肪22.5g)","茄汁大虾
(￥10 | 150g: 热量240kcal 碳水15.0g 蛋白18.0g 脂肪12.0g)","水煮肥牛卷
(￥12 | 150g: 热量375kcal 碳水7.5g 蛋白18.0g 脂肪30.0g)"
"藕片炒肉
(￥8 | 150g: 热量210kcal 碳水12.0g 蛋白10.5g 脂肪13.5g)","农家小炒肉
(￥8 | 150g: 热量300kcal 碳水6.0g 蛋白16.5g 脂肪24.0g)","冬瓜烧鸡
(￥8 | 150g: 热量180kcal 碳水6.0g 蛋白15.0g 脂肪10.5g)","面筋炒肉
(￥6 | 150g: 热量255kcal 碳水12.0g 蛋白15.0g 脂肪16.5g)","三鲜日本豆腐
(￥6 | 150g: 热量180kcal 碳水12.0g 蛋白9.0g 脂肪10.5g)","豇豆炒肉
(￥8 | 150g: 热量210kcal 碳水7.5g 蛋白12.0g 脂肪15.0g)","椒盐鸡米花
(￥6 | 150g: 热量420kcal 碳水27.0g 蛋白18.0g 脂肪27.0g)"
"新疆大盘鸡
(￥6 | 150g: 热量225kcal 碳水10.5g 蛋白15.0g 脂肪13.5g)","香菇黄焖鸡
(￥6 | 150g: 热量240kcal 碳水7.5g 蛋白18.0g 脂肪15.0g)","红烧日本豆腐
(￥6 | 150g: 热量195kcal 碳水13.5g 蛋白9.0g 脂肪12.0g)","杏鲍菇炒肉
(￥6 | 150g: 热量225kcal 碳水9.0g 蛋白13.5g 脂肪15.0g)","酸汤小酥肉
(￥8 | 150g: 热量330kcal 碳水22.5g 蛋白13.5g 脂肪21.0g)","青椒辣子鸡
(￥8 | 150g: 热量345kcal 碳水9.0g 蛋白19.5g 脂肪24.0g)","香辣藕合
(￥6 | 150g: 热量330kcal 碳水27.0g 蛋白9.0g 脂肪21.0g)"
"咖喱土豆鸡
(￥8 | 150g: 热量240kcal 碳水19.5g 蛋白13.5g 脂肪12.0g)","魔芋烧鸭
(￥8 | 150g: 热量225kcal 碳水6.0g 蛋白16.5g 脂肪15.0g)","白菜粉条肉
(￥6 | 150g: 热量210kcal 碳水18.0g 蛋白7.5g 脂肪12.0g)","鱼香肉丝
(￥6 | 150g: 热量270kcal 碳水13.5g 蛋白15.0g 脂肪18.0g)","剁椒蒸鸡腿
(￥5 | 150g: 热量240kcal 碳水4.5g 蛋白21.0g 脂肪15.0g)","娃娃菜炒肉
(￥6 | 150g: 热量180kcal 碳水7.5g 蛋白10.5g 脂肪12.0g)","魔芋烧鸭
(￥8 | 150g: 热量225kcal 碳水6.0g 蛋白16.5g 脂肪15.0g)"
"青椒鸡丝
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","青椒鸡丁
(￥6 | 150g: 热量225kcal 碳水7.5g 蛋白18.0g 脂肪13.5g)","酱爆鸡丁
(￥6 | 150g: 热量255kcal 碳水10.5g 蛋白19.5g 脂肪15.0g)","花菜炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","农家小炒肉
(￥6 | 150g: 热量300kcal 碳水6.0g 蛋白16.5g 脂肪24.0g)","青笋炒肉
(￥6 | 150g: 热量195kcal 碳水7.5g 蛋白12.0g 脂肪13.5g)","宫保鸡丁
(￥6 | 150g: 热量285kcal 碳水12.0g 蛋白19.5g 脂肪18.0g)"
"炝炒莲白
(￥4 | 150g: 热量75kcal 碳水6.0g 蛋白3.0g 脂肪4.5g)","红烧茄子
(￥4 | 150g: 热量210kcal 碳水16.5g 蛋白3.0g 脂肪15.0g)","红烧豆腐
(￥4 | 150g: 热量180kcal 碳水9.0g 蛋白12.0g 脂肪10.5g)","蒜蓉菜心
(￥4 | 150g: 热量68kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","蒜蓉菜心
(￥4 | 150g: 热量68kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","韭菜千叶豆腐
(￥6 | 150g: 热量210kcal 碳水12.0g 蛋白13.5g 脂肪12.0g)","炒合菜
(￥4 | 150g: 热量120kcal 碳水7.5g 蛋白6.0g 脂肪7.5g)"
"葫芦瓜炒鸡蛋
(￥4 | 150g: 热量135kcal 碳水4.5g 蛋白9.0g 脂肪9.0g)","韭菜炒豆芽
(￥4 | 150g: 热量90kcal 碳水6.0g 蛋白4.5g 脂肪6.0g)","葫芦瓜炒鸡蛋
(￥4 | 150g: 热量135kcal 碳水4.5g 蛋白9.0g 脂肪9.0g)","蒜蓉油白菜
(￥1 | 150g: 热量68kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","酸辣土豆丝
(￥1 | 150g: 热量165kcal 碳水19.5g 蛋白3.0g 脂肪9.0g)","蒜蓉油麦菜
(￥2 | 150g: 热量68kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","鱼香茄子
(￥4 | 150g: 热量225kcal 碳水18.0g 蛋白3.0g 脂肪16.5g)"
"西芹香干
(￥4 | 150g: 热量165kcal 碳水9.0g 蛋白12.0g 脂肪9.0g)","蒜蓉菜心
(￥4 | 150g: 热量68kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","海米烧冬瓜
(￥3 | 150g: 热量82kcal 碳水6.0g 蛋白4.5g 脂肪4.5g)","清炒毛白菜
(￥2 | 150g: 热量60kcal 碳水4.5g 蛋白3.0g 脂肪4.5g)","红烧豆腐
(￥4 | 150g: 热量180kcal 碳水9.0g 蛋白12.0g 脂肪10.5g)","青椒炒素鸡
(￥4 | 150g: 热量225kcal 碳水15.0g 蛋白15.0g 脂肪12.0g)","烧椒茄子
(￥4 | 150g: 热量165kcal 碳水12.0g 蛋白3.0g 脂肪12.0g)"
